ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	64.58898335665333	64.58898335665333	64.58898335665333	64.58898335665333
1	64.47522424987065	64.42718256715594	64.47941044784345	64.53163832853097
2	64.47080372822788	64.3203567504463	64.40704518348407	64.48834733696616
3	64.41050353391917	64.15973463534021	64.3003218329203	64.42604201641514
4	64.39546641857079	64.03894594861444	64.23539023602639	64.40981166527004
5	64.40409783043022	63.98816430284019	64.22873151563986	64.43306387309538
6	64.47169180748595	63.977323699156486	64.24319969537154	64.47169180748595
7	64.50095845349848	63.985674000341135	64.26809201357715	64.50176515369648
8	64.56228335507221	63.93919850138088	64.28119281520813	64.56424828239724
9	64.69349838422455	63.99203365024366	64.38034097485513	64.69513165979744
10	64.73045158705618	64.01511277510765	64.4289870677311	64.7342641951201
