Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:01:15	19:01:15	19:01:15			19:01:15	19:01:15	19:01:15	19:01:15	19:01:15	19:01:15	19:01:15	19:01:16	19:01:16	19:01:16	19:01:16	19:01:16	19:01:16			19:01:17	19:01:17		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
1	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18	19:01:18			19:01:19	19:01:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	19:01:19	19:01:19	19:01:19	19:01:19	19:01:19	19:01:19			19:01:19	19:01:19	19:01:19	19:01:19	19:01:20	19:01:20	19:01:20	19:01:20	19:01:20	19:01:20			19:01:20	19:01:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	19:01:20	19:01:20	19:01:20	19:01:20	19:01:20	19:01:20			19:01:20	19:01:20	19:01:20	19:01:20	19:01:21	19:01:21	19:01:21	19:01:21	19:01:21	19:01:21			19:01:21	19:01:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	19:01:21	19:01:21	19:01:21	19:01:21	19:01:21	19:01:21			19:01:21	19:01:21	19:01:21	19:01:21	19:01:22	19:01:22	19:01:22	19:01:22	19:01:22	19:01:22			19:01:22	19:01:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	19:01:22	19:01:22	19:01:22	19:01:22	19:01:22	19:01:22			19:01:22	19:01:22	19:01:22	19:01:22	19:01:23	19:01:23	19:01:23	19:01:23	19:01:23	19:01:23			19:01:23	19:01:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	19:01:23	19:01:23	19:01:23	19:01:23	19:01:23	19:01:23			19:01:23	19:01:23	19:01:23	19:01:23	19:01:24	19:01:24	19:01:24	19:01:24	19:01:24	19:01:24			19:01:24	19:01:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	19:01:25	19:01:25	19:01:25	19:01:25	19:01:25	19:01:25			19:01:25	19:01:25	19:01:25	19:01:25	19:01:26	19:01:26	19:01:26	19:01:26	19:01:26	19:01:26			19:01:26	19:01:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	19:01:26	19:01:26	19:01:26	19:01:26	19:01:26	19:01:26			19:01:26	19:01:26	19:01:26	19:01:26	19:01:27	19:01:27	19:01:27	19:01:27	19:01:27	19:01:27			19:01:27	19:01:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	19:01:27	19:01:27	19:01:27	19:01:27	19:01:27	19:01:27			19:01:27	19:01:27	19:01:27	19:01:27	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28			19:01:28	19:01:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:28	19:01:29	19:01:29	19:01:29	19:01:29	19:01:29	19:01:29	19:01:29	19:01:29	19:01:29	19:01:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
